question,document,answer_llm,score,reasoning
What does Requirement 9 say about restricting physical access to cardholder data?,215,"Requirement 9 says physical access to cardholder data and systems in the CDE must be controlled so only authorized personnel can enter sensitive areas.

- Security policies and operational procedures for Requirement 9 must be documented, kept up to date, in use, and known to all affected parties.
- Appropriate facility entry controls must be in place to restrict physical access to systems in the CDE.
- This does not apply to locations that are publicly accessible by consumers (cardholders).
- Physical access to sensitive areas within the CDE must be authorized and based on individual job function.
- Access must be revoked immediately upon termination.
- Physical access mechanisms, such as keys and access cards, must be returned or disabled upon termination.

Source: req. 9.1.1 (p. 211); req. 9.2.1 (p. 213); req. 9.3.1.1 (p. 218)",bad,"The page only states 9.1.1: all security policies and operational procedures identified in Requirement 9 must be documented, kept up to date, in use, and known to all affected parties. The answer adds multiple claims about physical access controls, public locations, authorization, termination, and cites requirement numbers not on the page. Those additions are unsupported by the provided page."
What are some acceptable ways to confirm a user’s identity before a password reset or token change?,192,"A user’s identity can be confirmed before a password reset or token change by using a secret question/answer, knowledge-based information, or calling the user back at a known, previously established phone number.

- These are examples of acceptable identity-verification methods before modifying an authentication factor.
- The requirement applies before modifying any authentication factor, including password resets and provisioning new hardware or software tokens.
- Another acceptable example mentioned is self-service password reset mechanisms that let the account owner verify their identity.

Source: req. 8.3.3 (p. 192); req. 8.3.4 (p. 193)",bad,"The answer correctly lists the identity-verification examples from the page: secret question/answer, knowledge-based information, and calling the user back at a known, previously established phone number. However, it also claims self-service password reset mechanisms are another acceptable example and cites requirements 8.3.4 and page 193, neither of which appear on the provided page. That extra claim is not supported by the page."
"For A3.3.1.1, what steps must the response process include?",368,"The response process for failures of critical security control systems must promptly restore security functions, document the failure, investigate the cause, address any resulting issues, decide on further actions, prevent recurrence, and resume monitoring.

- Restore security functions.
- Identify and document the duration of the security failure, including date and time start to end.
- Identify and document the cause(s) of failure, including root cause, and the remediation required to address it.
- Identify and address any security issues that arose during the failure.
- Determine whether further actions are required because of the security failure.
- Implement controls to prevent the cause of failure from recurring.
- Resume monitoring of security controls.

Source: req. A3.3.1.1 (p. 368)",good,"The answer lists the response-process steps exactly as stated on the page: restoring security functions; documenting duration; documenting cause and remediation; addressing security issues; determining further actions; preventing recurrence; and resuming monitoring. The only potential issue is the cited page number, which does not match the provided page, but the substance of the answer is fully supported by the page and it answers the question correctly."
What should an assessor review to confirm cleartext key components are limited to necessary custodians?,104,"Cleartext cryptographic key components should be accessible only to the minimum number of required key custodians.

- Review user access lists.
- Verify access is restricted to the fewest number of custodians necessary.
- Confirm only personnel with defined key custodian responsibilities are granted access to key components.

Source: req. 3.6.1.3 (p. 104)",good,"The answer matches the page: it says the assessor should review user access lists to verify access is restricted to the fewest number of custodians necessary, and the extra statement about defined key custodian responsibilities is supported by the good practice note. However, the cited page number 'p. 104' is not on the provided page excerpt, which is page 100. Since the substance is still correct and supported, this is overall good."
How must suspected or confirmed incidents and vulnerabilities be handled after they’re reported?,345,"Suspected or confirmed incidents and vulnerabilities must be promptly reported, addressed, and remediated using documented processes, with incidents responded to immediately and, where applicable, supported by forensic investigation and customer notification.

- Maintain an incident response plan that is ready to activate for suspected or confirmed incidents.
- Include roles, responsibilities, communication and contact strategies, and at minimum notify payment brands and acquirers.
- Include containment and mitigation procedures for different incident types.
- Include business recovery and continuity procedures, data backup processes, legal reporting analysis, coverage of critical system components, and payment brand procedures.
- Designate specific personnel available 24/7 to respond to suspected or confirmed incidents.
- Implement processes/mechanisms for customers to securely report incidents and vulnerabilities.
- Address and remediate suspected or confirmed incidents and vulnerabilities according to Requirement 6.3.1.
- Use prompt alerts and documented response procedures for suspicious activity.
- Support and/or facilitate prompt forensic investigations for suspected or confirmed incidents, where applicable.

Source: req. 12.10.1 (p. 331), req. 12.10.3 (p. 333), req. A1.2.3 (p. 345), req. A3.5.1 (p. 372), req. A1.2.2 (p. 344)",bad,"The page only states that processes/mechanisms must allow customers to securely report incidents and vulnerabilities, and that the provider addresses and remediates suspected or confirmed incidents and vulnerabilities according to Requirement 6.3.1. The answer adds many requirements not on the page (incident response plan details, 24/7 personnel, forensic investigations, payment brand/acquirer notification, etc.) and cites multiple requirement numbers not present on the provided page."
Which tasks are covered by the quarterly review requirement in 12.4.2?,306,"Reviews in 12.4.2 cover specific operational tasks to confirm personnel are performing them in accordance with security policies and operational procedures.

- Daily log reviews
- Configuration reviews for network security controls
- Applying configuration standards to new systems
- Responding to security alerts
- Change-management processes
- The requirement says the list is “included, but are not limited to,” so other tasks may also be covered
- Reviews must be done by personnel other than those responsible for the task
- They must occur at least once every three months
- This requirement applies only to service providers

Source: req. 12.4.2 (p. 306)",bad,"The answer correctly identifies the tasks listed in 12.4.2 and the quarterly frequency, independent reviewer, and service-provider-only applicability. However, it cites the wrong page number ('p. 306' instead of the provided page 302), which is unsupported by the page/question context. The substance is otherwise supported."
"How can the 1.2.7 review be performed, and how is that documented?",53,"1. The 1.2.7 review can be performed manually, automatically, or with system-based methods to confirm NSC configurations match approved traffic rules and documented business justifications.

- It must review configurations of network security controls at least once every six months.
- It should confirm all permitted access has a justified business reason.
- Any discrepancies or uncertainties about a rule or configuration should be escalated for resolution.
- If a configuration is no longer supported by a business justification, it must be removed or updated.
- Documentation should show the organization’s procedures for performing the six-month review and the actual reviews completed at that frequency.

Source: req. 1.2.7 (p. 49)",good,"The answer matches the page: it states the review can be manual, automated, or system-based; that it occurs at least every six months; that it confirms approved configurations and business justifications; that discrepancies should be escalated; and that unsupported configurations must be removed or updated. It also correctly describes the documentation/testing evidence for procedures and completed reviews. All claims are supported by the page."
What do assessors need to check to confirm 7.2.2 is in place?,170,"Assessors need to verify that user access, including privileged access, is granted according to the user’s job classification and function and only with the minimum privileges needed for the job.

- Examine policies and procedures to confirm they require access to be assigned in line with all elements of the requirement.
- Examine user access settings, including privileged users, and interview responsible management to confirm privileges match the requirement.
- Interview personnel responsible for assigning access to confirm privileged user access is assigned correctly.

Source: req. 7.2.2 (p. 170)",good,"The answer matches the page's requirement 7.2.2 and its testing procedures 7.2.2.a-c. The substantive content is supported, though the cited page number is not the one shown, but that does not affect the correctness of the answer's substance here."
How often do we need to prove customer environment separation still works?,342,"The separation of customer environments must be proven with penetration testing at least every six months.

- Confirm the effectiveness of the logical separation controls used to separate customer environments.
- Testing is done via penetration testing.
- Frequency: at least once every six months.
- This testing is in addition to the penetration tests in Requirement 11.4.6.
- Best practice until 31 March 2025; after that, it is required.

Source: req. A1.1.4 (p. 342)",good,"The answer correctly states that effectiveness of logical separation controls must be confirmed at least once every six months via penetration testing, and that this testing is in addition to Requirement 11.4.6. However, it cites the wrong page number (p. 342 instead of the provided p. 338). Since the substance is supported by the page and the incorrect page citation is not itself a contradiction of the requirement, the answer is still correct overall."
How do you prove that Requirement 2 responsibilities are documented and assigned?,67,"Requirement 2 responsibilities are proven by showing that they are documented, assigned, and understood for all activities in Requirement 2.

- Examine documentation to verify that descriptions of roles and responsibilities for performing activities in Requirement 2 are documented and assigned.
- Interview personnel with responsibility for performing activities in Requirement 2 to verify that roles and responsibilities are assigned as documented and are understood.
- Roles and responsibilities may be documented within policies and procedures or in separate documents.
- A responsibility assignment matrix, such as a RACI matrix, is an example of how to document roles and responsibilities.
- Personnel acknowledgment of their assigned roles and responsibilities can also be considered.

Source: req. 2.1.2 (p. 63)",good,"The answer matches the page: it states that Requirement 2 responsibilities are documented, assigned, and understood, and cites the correct testing procedures (examine documentation and interview personnel). It also includes supported good-practice examples like policies/procedures, separate documents, RACI matrix, and personnel acknowledgment. No unsupported or contradictory claims are present."
How do you verify the IDS/IPS setup for requirement 11.5.1?,287,"Intrusion-detection and/or intrusion-prevention techniques must monitor the CDE perimeter and critical points, alert personnel to suspected compromises, and keep engines, baselines, and signatures current.

- Examine system configurations and network diagrams to verify IDS/IPS is in place to monitor all traffic:
  - At the perimeter of the CDE.
  - At critical points in the CDE.
- Examine system configurations and interview responsible personnel to verify IDS/IPS alerts personnel of suspected compromises.
- Examine system configurations and vendor documentation to verify IDS/IPS is configured to keep all engines, baselines, and signatures up to date.

Source: req. 11.5.1 (p. 287)",good,"The answer matches the page’s testing procedures for 11.5.1: it says to examine system configurations and network diagrams for monitoring at the CDE perimeter and critical points, interview responsible personnel to verify alerts, and review system configurations and vendor documentation to verify engines, baselines, and signatures are kept up to date. The substance is supported by the page, though the page number cited is wrong (page 283, not 287), which does not affect the substantive correctness here."
Why does PCI DSS want access control systems to start from a deny-all setting?,177,"A deny-all default ensures no one gets access unless a rule explicitly grants it, which supports least-privilege and reduces the chance of unintended access.

- No access is granted unless specifically allowed by a rule.
- It helps avoid the risk of systems being set to “allow all” by default.
- It aligns with managing access based on need to know and job function.
- It supports the objective that access rights and privileges are prohibited unless expressly permitted.

Source: req. 7.3.3 (p. 177)",good,"The answer is supported by the page: it states that a default deny-all means no one is granted access unless explicitly allowed, and that default allow-all can otherwise permit access until denied. The mention of least-privilege/need-to-know is not on this page, but it is consistent with the stated objective that access rights and privileges are prohibited unless expressly permitted, so it does not contradict the page. The citation to p. 177 is not supported by the provided page, which is page 173, but the substantive answer matches the page."
How do you verify that recent system changes followed the approved change process for 6.5.1?,159,"Recent production changes are verified by tracing them back to change control records and checking that each change followed the approved process.

- Examine documented change control procedures to confirm they define all required elements for changes to all production system components.
- Examine recent system changes and trace each one to related change control documentation.
- For each change, verify:
  - the reason for and description of the change were documented,
  - the security impact was documented,
  - the change was approved by authorized parties,
  - testing showed the change did not adversely impact system security,
  - for bespoke/custom software changes, updates were tested for compliance with Requirement 6.2.4 before production deployment,
  - procedures existed to address failures and return to a secure state.

Source: req. 6.5.1.a (p. 159), req. 6.5.1.b (p. 159)",good,"The answer correctly describes the verification approach from 6.5.1.a and 6.5.1.b: examine procedures, trace recent changes to documentation, and verify all required elements. However, it cites page 159, while the provided page is 155, and the content does not indicate that page number. Since the substance matches the page, the page-number citation issue alone does not make it wrong under the given rules. But the answer also presents the detailed elements as part of what to verify for recent changes, which is supported by 6.5.1.b. Overall it is correct and supported by the page."
What is the objective behind requirement 1.2.8?,54,"Requirement 1.2.8 is intended to keep network security control configuration files current and protected so unauthorized configurations cannot be applied to the network.

- Configuration information must be kept up to date.
- Configuration files for network security controls must be secured against unauthorized changes.
- This helps ensure the correct settings are reinstated whenever a configuration is run, such as after a reboot.
- Customized approach objective: network security controls cannot be defined or modified using untrusted configuration objects, including files.

Source: req. 1.2.8 (p. 54)",good,"The answer correctly states the objective behind 1.2.8: prevent unauthorized configurations by keeping NSC configuration files current and secure. It also accurately reflects the customized approach objective. However, it cites page 54, while the provided page is 50; this citation is incorrect. The content itself is supported by the page."
How do you verify compliance with Requirement 1.3.3?,57,"Compliance with Requirement 1.3.3 is verified by checking that network security controls are in place between all wireless networks and the cardholder data environment and that wireless traffic is blocked by default except for authorized business traffic.

- Examine configuration settings and network diagrams.
- Verify NSCs are implemented between all wireless networks and the CDE.
- Confirm all wireless traffic from wireless networks into the CDE is denied by default.
- Confirm only wireless traffic with an authorized business purpose is allowed into the CDE.

Source: req. 1.3.3 (p. 57)",good,"The answer matches the page’s testing procedure for Requirement 1.3.3: examine configuration settings and network diagrams to verify NSCs between all wireless networks and the CDE, with default denial of wireless traffic and allowance only for authorized business purposes. The only issue is the cited page number is wrong (page 53 in the provided page, not 57), but the substance is supported by the page and it answers the question."
"What do you check under 9.3.1.1.c for keys, badges, and other access devices after termination?",222,"For terminated personnel, you check whether all physical access mechanisms, such as keys and access cards, were returned or disabled.

- Examine physical access control lists.
- Interview responsible personnel.
- Verify the physical access mechanisms for terminated personnel were returned or disabled.

Source: req. 9.3.1.1.c (p. 222)",good,"The answer matches the page: 9.3.1.1.c requires examining physical access control lists and interviewing responsible personnel to verify that all physical access mechanisms (such as keys, access cards, etc.) were returned or disabled for terminated personnel. The only minor issue is the cited page number, which differs from the provided page, but the substantive content is supported."
How often do we need to run external penetration tests under 11.4.3?,281,"External penetration tests must be performed at least once every 12 months and after any significant infrastructure or application upgrade or change.

- Per the entity’s defined methodology
- At least once every 12 months
- After any significant infrastructure or application upgrade or change
- By a qualified internal resource or qualified external third party
- Tester must have organizational independence; not required to be a QSA or ASV

Source: req. 11.4.3 (p. 281)",good,"The answer directly matches the page: it states the required frequency (at least once every 12 months) and the trigger after significant infrastructure or application upgrades/changes, plus the other listed conditions in 11.4.3. The citation page number is different from the provided page, but that does not affect the substance of the answer."
What evidence should an assessor look at to check annual training for PCI DSS responsibility roles?,355,"Personnel with PCI DSS compliance responsibilities should be able to show that they receive up-to-date PCI DSS and/or information security training at least once every 12 months.

- Review information security policies and procedures to confirm training is required at least once every 12 months for each role with PCI DSS compliance responsibilities.
- Interview personnel with PCI DSS compliance responsibilities.
- Examine certificates of attendance or other records showing up-to-date PCI DSS and/or similar information security training was completed at least once every 12 months.

Source: req. A3.1.4 (p. 355)",good,"The answer matches the page’s testing procedures: it says to review policies/procedures, interview personnel, and examine certificates of attendance or other records to verify annual up-to-date PCI DSS and/or information security training. However, it cites the wrong page number (355 instead of 351), but the substantive content is supported by the page."
"Under A1, how do controls stop one customer from reaching another customer’s environment or data?",341,"Controls separate customer environments so each customer can access only its own cardholder data, CDE, and allocated resources, preventing access to other customers’ environments or data.

- Implement controls so each customer has permission only to access its own cardholder data and CDE.
- Verify customers’ privileges are set to access only their own account data and CDE.
- Implement controls so each customer can only access resources allocated to them.
- Multi-tenant environments should be logically separated, with no connectivity between them.
- The provider cannot access customers’ environments without authorization, and customers cannot access the provider’s environment without authorization.
- Access should follow appropriate access needs and least-privilege principles.

Source: req. A1.1.2 (p. 341), A1.1.3 (p. 341), A1.1.1 (p. 340), 7.2.1 (p. 168)",bad,"The answer includes supported points from the page: each customer may only access its own cardholder data/CDE and resources allocated to them. However, it also adds unsupported claims not shown on the page, such as logical separation/no connectivity, provider access restrictions, least-privilege principles, and cites requirements A1.1.1 and 7.2.1 that are not on the provided page. Because it contains extra unsupported content, it is not fully supported by the page."
"For requirement 10.3.4, what has to be in place on audit logs?",250,"Audit logs must have file integrity monitoring or change-detection in place so existing log data cannot be changed without generating an alert.

- It applies to audit logs.
- Existing log data must not be changeable without an alert.
- The good practice note says log monitoring should alert on existing log data or files being changed or deleted.
- New log data being added to an audit log should not generate an alert.

Source: req. 10.3.4 (p. 250)",good,"The answer correctly states that file integrity monitoring or change-detection mechanisms must be used on audit logs so existing log data cannot be changed without generating alerts. It also correctly includes the page’s good-practice note that new log data added to an audit log should not generate an alert. The only potential issue is the cited page number, which does not match the provided page, but the substance is supported by the page and the question is answered."
What is the objective of the customized approach for A1.2?,343,"The objective of the customized approach for A1.2 is to ensure log capability is available to all customers without affecting the confidentiality of other customers.

- Log capability must be available to every customer.
- Access to logs must not expose one customer’s log information to other customers.
- The focus is on preserving the confidentiality of other customers while providing logging capability.

Source: req. A1.2.1 (p. 343)",good,"The answer states the customized approach objective exactly as shown on the page: log capability is available to all customers without affecting the confidentiality of other customers. The extra bullets are consistent with that objective. The only issue is the cited page number/source reference, which is incorrect, but the substance answers the question and is supported by the page."
What evidence is reviewed to prove internal rescans cleared all high-risk and critical vulnerabilities?,270,"The internal scan evidence reviewed is the scan report results from each scan and rescan, showing that all high-risk and critical vulnerabilities were resolved.

- Examine internal scan report results from the last 12 months for the quarterly scan requirement.
- For proving remediation, examine scan report results from each scan and rescan run in the last 12 months.
- The reports must verify that all high-risk vulnerabilities and all critical vulnerabilities were resolved.

Source: req. 11.3.1.b (p. 268)",good,"The answer matches the page: it identifies the evidence as internal scan report results from each scan and rescan run in the last 12 months and correctly states that they must show all high-risk and critical vulnerabilities are resolved. It also mentions the quarterly scan report review, which is supported by 11.3.1.a on the page. The only potential issue is the page number citation (p. 268) doesn’t match the provided page, but the substantive answer is supported by the page text and requirement 11.3.1.b is present."
How do you verify that the Requirement 11 responsibilities are assigned and understood?,266,"Roles and responsibilities for Requirement 11 must be documented, assigned, and confirmed as understood by the personnel responsible for those activities.

- Examine documentation to verify that roles and responsibilities for performing Requirement 11 activities are documented and assigned.
- Interview personnel with responsibility for Requirement 11 activities to verify the roles and responsibilities are assigned as documented and are understood.
- Roles and responsibilities may be documented in policies and procedures or in separate documents.
- A RACI matrix can be used to document who is responsible, accountable, consulted, and informed.
- Entities may consider having personnel acknowledge their acceptance and understanding of their assigned roles and responsibilities.

Source: req. 11.1.2 (p. 266)",good,"The answer matches the page’s testing procedures for 11.1.2: examine documentation and interview personnel to verify roles are documented, assigned, and understood. It also includes the guidance examples (separate documents, RACI matrix, acknowledgement) that are supported by the page. The citation page number is inconsistent with the provided page, but the substance is correct and supported."
How do you verify the diagram is kept current after environment changes?,48,"Verify the diagram by examining the documentation and interviewing responsible personnel to confirm it is accurate and updated whenever there are changes to the environment.

- For a network diagram, verify it is accurate and updated when changes occur.
- For a data-flow diagram, verify it is accurate and updated when changes occur.
- Evidence includes examining the diagram/documentation and interviewing responsible personnel.
- The diagram should be maintained by authorized personnel so it stays current.

Source: req. 1.2.3.b (p. 49), 1.2.4.b (p. 49)",bad,"The answer correctly states the verification method from 1.2.3.b: examine documentation and interview responsible personnel to verify the network diagram is accurate and updated when changes occur. However, it also introduces a data-flow diagram and cites requirement 1.2.4.b/p. 49, which are not on the provided page and are unsupported here. Because it includes unsupported extra claims and citations, it is not fully supported by the page."
"In 1.2.7, what has to happen to NSC settings that no longer have a business reason?",53,"Configurations of NSCs that no longer have a business justification must be removed or updated.

- They are identified during the required review of NSC configurations.
- The review happens at least once every six months.
- The requirement specifically says configurations no longer supported by a business justification must be removed or updated.

Source: req. 1.2.7 (p. 53)",good,"The answer matches the page: 1.2.7.c says configurations identified as no longer being supported by a business justification are removed or updated. The extra note about the six-month review is also supported by 1.2.7. However, the citation to page 53 is not on the provided page, but that does not change the substantive correctness of the answer."
How do you verify compliance with 6.2.3.1 during an assessment?,144,"Manual code reviews for bespoke and custom software are verified by checking that the reviews are done by knowledgeable people other than the original author and are approved by management before release to production.

- Examine documented software development procedures and interview responsible personnel to confirm the process is defined for manual code reviews in line with the requirement.
- Examine evidence of changes to bespoke and custom software and interview personnel to confirm manual code reviews were actually performed in accordance with the requirement.
- The reviewer must be other than the originating code author and knowledgeable about code-review techniques and secure coding practices.
- Management approval must occur before release.
- Manual code reviews may be done by knowledgeable internal or third-party personnel.
- An individual formally granted accountability for release control, who is neither the original code author nor the code reviewer, can fulfill the management criterion.

Source: req. 6.2.3.1 (p. 144)",good,"The answer matches the page’s testing procedures for 6.2.3.1: review documented procedures and interview personnel, then examine evidence and interview personnel again. It also correctly states the requirement that reviewers be other than the originating author and knowledgeable about code-review techniques and secure coding practices, and that management approval is required before release. The applicability notes about internal/third-party personnel and the release-control individual are also supported. The only issue is the cited page number (144) does not match the provided page (140), but the substance is supported by the page."
What specific log fields are required for each auditable event in 10.2.2?,247,"Audit logs must record the core details needed to identify who did what, when, where, and whether it succeeded or failed for each auditable event.

- User identification
- Type of event
- Date and time
- Success and failure indication
- Origination of event
- Identity or name of affected data, system component, resource, or service (for example, name and protocol)

Source: req. 10.2.2 (p. 247)",good,"The answer lists exactly the log fields required by 10.2.2 and correctly summarizes them as who/what/when/where/success-failure. The only issue is the page citation 'p. 247' does not match the provided page, but the substance is supported by the page and the question is answered correctly."
What is the objective behind requirements 12.1.2 and 12.1.3?,297,"The objective is to keep the security policy current and ensure everyone knows and accepts their information security responsibilities.

- 12.1.2: the policy is reviewed at least every 12 months and updated as needed for business objective or risk changes.
- 12.1.3: the policy clearly defines information security roles and responsibilities for all personnel, and personnel are aware of and acknowledge them.

Source: req. 12.1.2, 12.1.3 (p. 293)",good,"The answer matches the page’s stated purposes/objectives: 12.1.2 is about keeping the information security policy current in response to evolving threats and changes to business objectives/risks, and 12.1.3 is about clearly defining roles/responsibilities and ensuring personnel are aware of and acknowledge them. No unsupported claims are made."
How do you check that systems only show full PAN to approved roles?,91,"Systems should mask PAN on display so that only approved roles with a documented legitimate business need can see more than the BIN and last four digits.

- Document the roles that are allowed to see more than the BIN and last four digits, including full PAN, and the business need for each role.
- Verify system configurations allow full PAN only for those documented roles and mask PAN for all other requests.
- Check actual displays, such as screens and paper receipts, to confirm PAN is masked.
- Confirm all roles not specifically authorized to see full PAN only see masked PANs.

Source: req. 3.4.1 (p. 91)",good,"The answer matches the page’s testing procedures: document approved roles and business need, verify system configurations restrict full PAN to those roles and mask other requests, and check displays to confirm masking. The only minor issue is the cited page number (p. 91) does not match the provided page 87, but the substance is supported by the page."
"Is 12.5.2.1 mandatory yet, or still a best practice until a later date?",311,"12.5.2.1 is still a best practice until 31 March 2025; after that date, it becomes required for service providers and must be fully considered during a PCI DSS assessment.

- Applies only when the entity being assessed is a service provider.
- Requires PCI DSS scope to be documented and confirmed at least once every six months and upon significant change to the in-scope environment.
- The scoping validation must include all elements in Requirement 12.5.2.
- For service provider assessments, reviewers must verify scope reviews are performed:
  - at least once every six months
  - after significant changes

Source: req. 12.5.2.1 (p. 311)",good,"The answer directly matches the page: it says 12.5.2.1 is a best practice until 31 March 2025 and then becomes required, and it correctly summarizes the service-provider-only scope review frequency and validation elements. The only issue is the cited page number (p. 311) does not match the provided page 307, but the substance is supported by the page."
How do you test that forged source IPs are being blocked at network controls?,60,"To test that forged source IPs are being blocked, examine the vendor documentation and network security control configurations to verify anti-spoofing measures are implemented to detect and block forged source IP addresses from entering the trusted network.

- Review vendor documentation for the anti-spoofing feature.
- Review NSC configurations to confirm anti-spoofing is enabled and blocks forged source IPs.
- Verify the control is applied to prevent forged IP packets from entering the trusted network.

Source: req. 1.4.3 (p. 60)",good,"The answer matches the page's testing procedure: examine vendor documentation and NSC configurations to verify anti-spoofing measures detect and block forged source IP addresses from entering the trusted network. The only issue is the cited page number 'p. 60' does not match the provided page, but the substance is supported and the requirement number 1.4.3 is correct."
Who needs to be made aware of the information security policy and their responsibilities?,295,"The information security policy and each person’s security responsibilities must be known by all relevant personnel, and also by relevant vendors and business partners.

- The policy must be disseminated to all relevant personnel.
- It must also be disseminated to relevant vendors and business partners.
- All personnel must be aware of and acknowledge their information security responsibilities.
- The policy must clearly define information security roles and responsibilities for all personnel.
- Security awareness training reinforces this awareness upon hire and at least every 12 months.

Source: req. 12.1.1 (p. 295), 12.1.3 (p. 297), 12.6.3 (p. 315)",bad,"The page says all relevant personnel within the organization, as well as relevant third parties, vendors, and business partners, must be aware of the information security policy and their responsibilities. The answer includes this and is supported. However, it also adds claims about acknowledgment, clearly defined roles for all personnel, and training frequency, and cites requirement numbers/pages not on the provided page. Those extra claims are not supported by the page."
What are the allowed ways to handle primary functions that need different security levels on the same system component?,70,"Primary functions that need different security levels on the same system component may be handled by keeping only one primary function on the component, isolating the differing functions from each other, or securing all of them to the level required by the highest-security function.

- Only one primary function exists on a system component, or
- Primary functions with differing security levels on the same system component are isolated from each other, or
- Primary functions with differing security levels on the same system component are all secured to the level required by the function with the highest security need.
- For virtualization technologies, the same three options apply.

Source: req. 2.2.3 (p. 70)",good,"The answer matches the page’s listed options for 2.2.3 and correctly states the virtualization-specific three options. However, it cites the source as page 70, while the provided page is page 66. The substance is supported by the page despite the incorrect page citation."
Which people are allowed to see more than the BIN and last four digits of a PAN?,91,"Only personnel with a legitimate business need can see more than the BIN and last four digits of the PAN.

- A list of roles needing access to more than the BIN and last four digits of the PAN must be documented.
- Each such role must have a documented legitimate business need.
- All roles not specifically authorized to see the full PAN must only see masked PANs.
- Full PAN may be displayed only for roles with a documented business need.

Source: req. 3.4.1 (p. 91)",good,"The answer matches the page: it states that only personnel with a legitimate business need can see more than the BIN and last four digits, and it accurately reflects the documented roles/business need and masking requirements. The cited requirement number is on the provided page, though the page number in the answer is slightly off; that does not affect the substance."
What do they compare installed patches against when testing 6.3.3?,152,"The installed security patches/updates are compared against the most recent security patch/update information.

- The examiner reviews system components and related software.
- The comparison is used to verify vulnerabilities are addressed.
- No additional threshold or timeframe is specified in the testing step itself.

Source: req. 6.3.3 (p. 148)",good,The answer matches the page: testing 6.3.3.b says to compare the list of installed security patches/updates to the most recent security patch/update information. The extra statements are consistent with the testing procedure and do not contradict the page.
What anti-phishing controls have to be in place for personnel with access to in-scope system components?,136,"Personnel with access to in-scope system components must be protected by processes and automated anti-phishing mechanisms, and they must also receive security awareness training about phishing and social engineering.

- Anti-phishing controls are required to **detect and protect personnel against phishing attacks**.
- The requirement is focused on **personnel with access to system components in-scope for PCI DSS**.
- It is a **best practice until 31 March 2025**; after that, it is required and must be fully considered during a PCI DSS assessment.
- This is **separate from security awareness training**; meeting one does not satisfy the other.
- Training must include awareness of **phishing and related attacks** and **social engineering**.

Source: req. 5.4.1 (p. 136); req. 12.6.3.1 (p. 316)",bad,"The answer correctly states that processes and automated mechanisms must be in place to detect and protect personnel with access to in-scope system components against phishing attacks, and it correctly notes this is separate from security awareness training. However, it goes beyond the page by asserting that personnel 'must also receive security awareness training about phishing and social engineering,' which is not part of the provided page. It also cites page/requirement references not present on the page. Because it includes unsupported claims, it should be marked bad."
"When do stored-account-data keys have to be retired, replaced, or destroyed under 3.7.5?",109,"Keys used to protect stored account data must be retired, replaced, or destroyed when they reach the end of their defined cryptoperiod, when their integrity has been weakened, or when they are suspected or known to be compromised.

- End of defined cryptoperiod
- Integrity weakened
  - Includes when personnel with knowledge of a cleartext key component leaves the company, or leaves the role for which the key component was known
- Suspected or known compromise
- Retired or replaced keys are not used for encryption operations
- If retired or replaced keys must be kept, they must be securely archived

Source: req. 3.7.5 (p. 109)",good,"The answer matches the page’s 3.7.5 conditions for retirement/replacement/destruction of keys used to protect stored account data: end of cryptoperiod, weakened integrity (including personnel departure scenarios), and suspected/known compromise. It also correctly states that retired or replaced keys are not used for encryption operations and may be securely archived if retained. The only issue is the page number cited as p. 109 rather than the provided page 105, but the substantive content is supported by the page."
What do we have to do with vulnerabilities that aren’t classified as high-risk or critical?,272,"Vulnerabilities that are not high-risk or critical must still be addressed, but on a timeframe based on the entity’s risk analysis rather than a fixed urgent deadline.

- They are addressed based on the risk defined in the entity’s targeted risk analysis.
- The targeted risk analysis must follow Requirement 12.3.1.
- Rescans are conducted as needed.
- For patching, “all other applicable security patches/updates” are installed within an appropriate timeframe determined by the entity’s assessment of the criticality of the risk to the environment.
- The timeframe for lower-risk vulnerabilities is subject to a risk analysis that includes, at minimum:
  - assets being protected
  - threats
  - likelihood and/or impact of a threat being realized
- This approach is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.

Source: req. 11.3.1.1 (p. 268); req. 6.3.3 (p. 148)",bad,"The answer correctly states that vulnerabilities not ranked high-risk or critical are addressed based on the entity’s targeted risk analysis and that rescans are conducted as needed. However, it also adds patching language from a different requirement not shown on the page and cites requirement 6.3.3, which is not on the provided page. Because it includes unsupported claims and an unsupported citation, it is not fully supported by the page."
What evidence should be reviewed and who should be interviewed for requirement 9.5.1.2.1?,237,"The assessor should review the documented results of periodic POI device inspections and interview personnel to confirm the inspections are being performed at the frequency and with the type defined in the entity’s targeted risk analysis.

- Review documented results of periodic device inspections.
- Interview personnel responsible for POI device inspections.
- Verify the inspection frequency and inspection type match the entity’s targeted risk analysis.
- Verify the targeted risk analysis was performed in accordance with all elements of Requirement 12.3.1.

Source: req. 9.5.1.2.1 (p. 237)",good,"The answer matches the page: it says to examine documented results of periodic device inspections and interview personnel, and it also correctly notes the targeted risk analysis and Requirement 12.3.1. The only minor issue is the cited page number, which does not matter because the substance is supported by the provided page."
