question,document,answer_llm,score,reasoning
"How can the 1.2.7 review be performed, and how is that documented?",53,"The 1.2.7 review can be performed using manual, automated, or system-based methods, and it should confirm that NSC traffic rules and configurations match approved configurations and allow only authorized services, protocols, and ports with a documented business justification. Any discrepancies or uncertainties should be escalated for resolution. (req. 1.2.7, p. 53)

It is documented by having procedures defined for reviewing NSC configurations at least once every six months, and by keeping documentation of the reviews themselves so assessors can verify they occurred at least every six months. The standard also says to examine configurations to verify that items no longer supported by a business justification are removed or updated. (req. 1.2.7.a, p. 53; req. 1.2.7.b, p. 53; req. 1.2.7.c, p. 53)

I don’t know anything more specific about the exact format of that documentation from the provided context.",good,"The answer is supported by the page: it correctly states that the review may be manual, automated, or system-based, that it confirms settings match approved configurations and justified business reasons, and that discrepancies should be escalated. It also accurately summarizes the documentation/testing procedures in 1.2.7.a, 1.2.7.b, and 1.2.7.c. No unsupported claims are made."
What do assessors need to check to confirm 7.2.2 is in place?,170,"To confirm 7.2.2 is in place, assessors need to check:

- Policies and procedures to verify they cover assigning access to users in accordance with all elements of the requirement, including access based on job classification and function and least privileges necessary to perform job responsibilities. (req. 7.2.2, p. 170)
- User access settings, including for privileged users, and interview responsible management personnel to verify the privileges assigned are in accordance with all elements of the requirement. (req. 7.2.2, p. 170)
- Personnel responsible for assigning access to verify that privileged user access is assigned in accordance with all elements of the requirement. (req. 7.2.2, p. 170)",good,"The answer matches the page’s testing procedures for 7.2.2: examine policies and procedures, examine user access settings and interview responsible management personnel, and interview personnel responsible for assigning access. However, it cites page 170 even though the provided page is 166. The substance is supported by the page, and the incorrect page citation does not change the correctness of the requirement content."
How often do we need to prove customer environment separation still works?,342,"Customer environment separation must be confirmed **at least once every six months** via penetration testing. The requirement also says it should be tested **after any changes to segmentation controls/methods**. (req. A1.1.4, p. 342; req. 11.4.6, p. 284)

",bad,"The page states A1.1.4: effectiveness of logical separation controls used to separate customer environments is confirmed at least once every six months via penetration testing. The answer includes that correctly, but it also adds claims about testing after any changes to segmentation controls/methods and cites requirement numbers/pages not on the provided page. That extra requirement is not supported by the page, so the answer is not fully supported."
How do you prove that Requirement 2 responsibilities are documented and assigned?,67,"To prove Requirement 2 responsibilities are documented and assigned, you:

1. **Examine documentation** to verify that descriptions of roles and responsibilities for performing activities in Requirement 2 are documented and assigned. (req. 2.1.2.a, p. 63)  
2. **Interview personnel** with responsibility for performing activities in Requirement 2 to verify that the roles and responsibilities are assigned as documented and are understood. (req. 2.1.2.b, p. 63)

The standard says roles and responsibilities may be documented in policies and procedures or in separate documents, and a **RACI matrix** is an example of a method for documenting them. (req. 2.1.2, p. 63)",good,"The answer matches the page: it cites the testing procedures for 2.1.2.a and 2.1.2.b, and accurately mentions the guidance that roles and responsibilities may be documented in policies/procedures or separate documents, with a RACI matrix as an example. No unsupported claims appear."
How do you verify the IDS/IPS setup for requirement 11.5.1?,287,"To verify the IDS/IPS setup for requirement 11.5.1, examine system configurations and network diagrams to confirm intrusion-detection and/or intrusion-prevention techniques are in place to monitor all traffic at the perimeter of the CDE and at critical points in the CDE. Also examine system configurations and interview responsible personnel to verify the techniques alert personnel of suspected compromises. Finally, examine system configurations and vendor documentation to verify the engines, baselines, and signatures are configured to stay up to date. (req. 11.5.1.a, p. 287; req. 11.5.1.b, p. 287; req. 11.5.1.c, p. 287)",good,"The answer matches the page’s testing procedures for 11.5.1: examine system configurations and network diagrams for perimeter/critical-point monitoring, interview personnel to verify alerts to suspected compromises, and check configurations/vendor documentation for up-to-date engines, baselines, and signatures. The cited requirement numbers are consistent with the page content, and nothing contradicts the page. The page number is different, but that does not affect correctness of the substance."
Why does PCI DSS want access control systems to start from a deny-all setting?,177,"PCI DSS wants access control systems to start from “deny all” because it ensures no one is granted access unless a rule specifically allows it, which supports restricting access by need to know and reduces the chance of excessive or unintended access. (req. 7.3.3, p. 177; req. 7.3.1, p. 176; req. 7.2.1, p. 168)

It also helps avoid the risk of systems being set to “allow all” by default, where access could be permitted unless a rule is written to deny it. (req. 7.3.3, p. 177)",bad,"The answer correctly states the page’s purpose: deny-all means no access unless specifically allowed, and it mentions the page’s note about avoiding default allow-all configurations. However, it also cites requirement numbers and page numbers not shown on the provided page (7.3.1, 7.2.1, p. 176/168, and p. 177), which are unsupported by the page. Under the evaluation rules, unsupported citations make the answer bad even if the main substance is right."
How do you verify that recent system changes followed the approved change process for 6.5.1?,159,"To verify that recent system changes followed the approved change process for Requirement 6.5.1, examine recent changes to system components and trace each one back to its related change control documentation, then verify the change was implemented in accordance with all elements of the requirement: reason for and description of the change, documentation of security impact, documented approval by authorized parties, testing to verify no adverse security impact, testing for bespoke/custom software changes against Requirement 6.2.4 before production deployment, and procedures to address failures and return to a secure state. (req. 6.5.1.b, p. 159)

You should also examine documented change control procedures to confirm they define those required elements for changes to all system components in the production environment. (req. 6.5.1.a, p. 159)",good,"The answer matches the page’s testing procedures for 6.5.1.a and 6.5.1.b: examine recent changes, trace them to change control documentation, and verify all specified elements. However, it cites page 159 while the provided page is 155, so the citation is unsupported by the given page. Because the substance is correct and supported, this is still acceptable if citations are ignored, but per the instruction to mark bad when citing a requirement number that is not on the page, the page number mismatch is not a requirement number issue. Overall the answer is supported by the page."
What is the objective behind requirement 1.2.8?,54,"The objective behind requirement 1.2.8 is to ensure that configuration files for network security controls are secured against unauthorized access and kept consistent with the active network configuration, so unauthorized configurations cannot be applied to the network. (req. 1.2.8, p. 54)",good,"The answer matches the page’s stated purpose/objective for 1.2.8: prevent unauthorized configurations by keeping configuration files for NSCs up to date, secured against unauthorized changes, and consistent with active network configurations. The added page number is not material to correctness."
How do you verify compliance with Requirement 1.3.3?,57,"To verify compliance with Requirement 1.3.3, examine configuration settings and network diagrams to confirm that network security controls are implemented between all wireless networks and the CDE, in accordance with all required elements: wireless traffic from wireless networks into the CDE is denied by default, and only wireless traffic with an authorized business purpose is allowed into the CDE. (req. 1.3.3, p. 57)",good,"The answer correctly states the testing procedure from the page: examine configuration settings and network diagrams to verify NSCs are implemented between all wireless networks and the CDE, and it includes the two required control elements. However, it cites page 57, while the provided page is page 53. The page number citation is not supported by the page, but the substantive content matches exactly."
"What do you check under 9.3.1.1.c for keys, badges, and other access devices after termination?",222,"Under **9.3.1.1.c**, you check that for **terminated personnel**, all physical access mechanisms — such as **keys, access cards, etc.** — were **returned or disabled**. You verify this by **examining physical access control lists and interviewing responsible personnel** (req. 9.3.1.1.c, p. 222).",good,"The answer matches the page: 9.3.1.1.c requires examining physical access control lists and interviewing responsible personnel to verify that for terminated personnel all physical access mechanisms (keys, access cards, etc.) were returned or disabled. The only minor issue is the page number cited is wrong (page 218 shown, not 222), but the substance is supported by the page."
How often do we need to run external penetration tests under 11.4.3?,281,"Under 11.4.3, external penetration testing must be performed at least once every 12 months, and also after any significant infrastructure or application upgrade or change. (req. 11.4.3, p. 281)",good,"The answer correctly states the timing requirements shown on the page: at least once every 12 months and after any significant infrastructure or application upgrade or change. However, it cites page 281 while the provided page is 277, but the page number citation is not part of the standard's requirement text itself. The substance is supported by the page."
What evidence should an assessor look at to check annual training for PCI DSS responsibility roles?,355,"An assessor should look at:

- **Information security policies and procedures** to verify that PCI DSS and/or information security training is required **at least once every 12 months** for each role with PCI DSS compliance responsibilities. (req. A3.1.4.a, p. 355)
- **Interviews with personnel** and **certificates of attendance or other records** to verify that personnel with PCI DSS compliance responsibility receive **up-to-date PCI DSS and/or similar information security training** at least once every 12 months. (req. A3.1.4.b, p. 355)

If you want, I can also summarize the related role-definition evidence in A3.1.3.",good,"The answer matches the page’s testing procedures: it cites examining information security policies and procedures, interviewing personnel, and reviewing certificates of attendance or other records to verify annual training for personnel with PCI DSS compliance responsibilities. It does not introduce unsupported requirements."
"Under A1, how do controls stop one customer from reaching another customer’s environment or data?",341,"Under A1, controls stop one customer from reaching another customer’s environment or data by implementing logical separation and customer-specific access restrictions: customers cannot access other customers’ environments, and each customer can only access its own cardholder data, CDE, and resources allocated to them. (req. A1.1.1, p. 340; req. A1.1.2, p. 341; req. A1.1.3, p. 341)

Specifically:
- Logical separation is implemented so customers cannot access the provider’s environment, and the provider cannot access customers’ environments without authorization. (req. A1.1.1, p. 340)
- Controls are implemented so each customer only has permission to access its own cardholder data and CDE. (req. A1.1.2, p. 341)
- Controls are implemented so each customer can only access resources allocated to them, preventing impact to other customers’ environments or account data. (req. A1.1.3, p. 341)",bad,"The answer correctly summarizes the page’s core point: controls must ensure each customer can only access its own cardholder data, CDE, and allocated resources, preventing access to other customers’ environments or data. However, it also cites A1.1.1 and page 340, which are not on the provided page, so that claim is not supported by the page. Because of the unsupported citation/extra requirement reference, mark bad."
"For requirement 10.3.4, what has to be in place on audit logs?",250,"For requirement 10.3.4, file integrity monitoring or change-detection mechanisms must be in place on audit logs so that existing log data cannot be changed without generating alerts. (req. 10.3.4, p. 246)

It also says that software used to monitor audit logs should alert when existing log data or files are changed or deleted, but should not alert when new log data is added. (req. 10.3.4, p. 246)",good,"The answer matches the page: 10.3.4 requires file integrity monitoring or change-detection mechanisms on audit logs so existing log data cannot be changed without alerts, and the good practice notes that alerts should occur for changes or deletions, not for new log data additions. The requirement number and substance are supported by the page."
What is the objective of the customized approach for A1.2?,343,"The objective of the customized approach for A1.2 is: “Log capability is available to all customers without affecting the confidentiality of other customers.” (req. A1.2.1, p. 343)",good,"The answer quotes the Customized Approach Objective exactly as shown on the page. The page supports that objective, though the page number cited in the answer is not the same as the provided page and the requirement reference A1.2.1 is adjacent context rather than the objective itself. The substantive answer is correct."
What evidence is reviewed to prove internal rescans cleared all high-risk and critical vulnerabilities?,270,"The evidence reviewed is the internal scan report results from each scan and rescan run, or other documentation if used, to verify that all high-risk and all critical vulnerabilities were resolved and that rescans confirmed the vulnerabilities were addressed (req. 11.3.1.b, p. 266). For scans after significant changes, internal scan and rescan reports are also examined to verify the same outcome (req. 11.3.1.3.b, p. 270).",bad,"The answer correctly cites that internal scan report results from each scan and rescan are examined to verify all high-risk and critical vulnerabilities are resolved. However, it adds a citation to 'req. 11.3.1.3.b, p. 270,' which is not on the provided page, and mentions 'other documentation if used' and 'scans after significant changes' without support from the page. Because it includes unsupported/correctness-uncertain claims and an incorrect citation beyond the given page, it should be marked bad."
How do you verify that the Requirement 11 responsibilities are assigned and understood?,266,"You verify it by:  
1. examining documentation to confirm the roles and responsibilities for Requirement 11 activities are documented and assigned, and  
2. interviewing personnel responsible for Requirement 11 activities to verify the roles and responsibilities are assigned as documented and are understood. (req. 11.1.2.a, p. 266; req. 11.1.2.b, p. 266)

PCI DSS also gives a good-practice example of documenting this in a responsibility assignment matrix (RACI) and optionally having personnel acknowledge their acceptance and understanding. (req. 11.1.2, p. 266)",good,"The answer matches the page: it correctly describes the testing procedures for 11.1.2.a and 11.1.2.b, and the extra mentions of a RACI matrix and personnel acknowledgment are supported as guidance/good practice. The only minor issue is the page number cited is wrong (page 262, not 266), but the substance is correct and supported."
How do you verify the diagram is kept current after environment changes?,48,"To verify the diagram is kept current after environment changes, examine the documentation and interview responsible personnel to confirm the diagram is accurate and updated when there are changes to the environment. This applies to both network diagrams and data-flow diagrams. (req. 1.2.3.b, p. 44; req. 1.2.4.b, p. 45)

You can also verify that the change management process requires changes to be tracked with security impact, approval, and testing, which helps ensure the diagram is updated as part of change handling. (req. 6.5.1, p. 155)",bad,"The answer correctly cites 1.2.3.b and matches the page's testing procedure to examine documentation and interview responsible personnel to verify the diagram is accurate and updated when changes occur. However, it adds claims about data-flow diagrams and change management requirements from other pages that are not on the provided page. Because it includes unsupported extra requirements, it should be marked bad."
"In 1.2.7, what has to happen to NSC settings that no longer have a business reason?",53,"They have to be **removed or updated** if they are no longer supported by a business justification. (req. 1.2.7.c, p. 53)",good,The page states in 1.2.7.c that configurations identified as no longer being supported by a business justification are removed or updated. The answer matches this requirement and is supported by the page. The page number citation is not a problem for correctness here.
How do you verify compliance with 6.2.3.1 during an assessment?,144,"To verify compliance with **6.2.3.1** during an assessment:

- **Examine documented software development procedures and interview responsible personnel** to verify that processes are defined for manual code reviews to be conducted in accordance with all elements in the requirement. (req. 6.2.3.1.a, p. 144)
- **Examine evidence of changes to bespoke and custom software and interview personnel** to verify that manual code reviews were actually conducted in accordance with all elements in the requirement. (req. 6.2.3.1.b, p. 144)

The requirement being tested is that, when manual code reviews are performed before release to production, code changes are:
- **reviewed by individuals other than the originating code author**, and who are knowledgeable about code-review techniques and secure coding practices; and
- **reviewed and approved by management prior to release.** (req. 6.2.3.1, p. 144)",good,"The answer matches the page’s testing procedures for 6.2.3.1: examine documented software development procedures and interview responsible personnel, then examine evidence of changes and interview personnel. It also correctly restates the requirement elements about independent review and management approval. The only issue is that it cites page 144 while the provided page is 140, but the substantive content is supported by the page."
What specific log fields are required for each auditable event in 10.2.2?,247,"For each auditable event in 10.2.1.1 through 10.2.1.7, the audit logs must record these details: user identification, type of event, date and time, success and failure indication, origination of event, and the identity or name of the affected data, system component, resource, or service (for example, name and protocol). (req. 10.2.2, p. 247)",good,"The answer lists exactly the log fields required by 10.2.2 on the provided page: user identification, type of event, date and time, success/failure indication, origination of event, and identity/name of affected data, system component, resource, or service. It correctly ties them to 10.2.2 and does not add unsupported requirements. The page number citation differs, but that does not affect the substance."
What is the objective behind requirements 12.1.2 and 12.1.3?,297,"The objective behind requirements 12.1.2 and 12.1.3 is to keep the information security policy current and aligned with the organization’s objectives and responsibilities: 12.1.2 ensures the policy is reviewed at least annually and updated as needed so it continues to reflect the organization’s strategic objectives and principles, and 12.1.3 ensures the policy clearly defines security roles and responsibilities so personnel understand their role in protecting cardholder data. (req. 12.1.2, p. 293; req. 12.1.3, p. 293)",good,"The answer matches the page. It correctly states the purpose/objective of 12.1.2 (keeping the policy current to address evolving threats and reflect changes, with the customized approach objective of reflecting strategic objectives and principles) and 12.1.3 (defining roles and responsibilities so personnel understand their responsibilities). No unsupported claims are made."
How do you check that systems only show full PAN to approved roles?,91,"Check it by verifying both the role list and the system behavior:

- Examine documented policies and procedures to confirm there is a documented list of roles that need access to more than the BIN and last four digits of PAN, with a legitimate business need for each role, and that all other roles only see masked PAN. (req. 3.4.1.a, p. 91)
- Examine system configurations to verify that full PAN is only displayed for roles with a documented business need, and that PAN is masked for all other requests. (req. 3.4.1.b, p. 91)
- Examine actual PAN displays on screen or paper receipts to verify PAN is masked when displayed, and that only those with a legitimate business need can see more than the BIN and/or last four digits. (req. 3.4.1.c, p. 91)",good,"The answer matches the page’s testing procedures for 3.4.1.a, 3.4.1.b, and 3.4.1.c. It correctly states checking documented roles/business need, system configurations, and actual displays to ensure only approved roles can see full PAN. The only issue is the cited page number (91 instead of 87), but the substance is supported by the page provided."
"Is 12.5.2.1 mandatory yet, or still a best practice until a later date?",311,"12.5.2.1 is **still a best practice until 31 March 2025**. It is only **required after that date** and must then be fully considered during a PCI DSS assessment. (req. 12.5.2.1, p. 307)

It applies only to service providers, and the requirement says scope must be documented and confirmed at least once every six months and upon significant change. (req. 12.5.2.1, p. 307)",good,"The answer matches the page: it states 12.5.2.1 is a best practice until 31 March 2025 and becomes required after that date, which is explicitly on the page. It also correctly notes it applies only to service providers and summarizes the six-month/significant-change scope review requirement. All claims are supported."
How do you test that forged source IPs are being blocked at network controls?,60,"To test that forged source IPs are being blocked at network controls, PCI DSS says to **examine vendor documentation and NSC configurations** to verify that **anti-spoofing measures are implemented to detect and block forged source IP addresses from entering the trusted network** (req. 1.4.3, p. 60).

The requirement’s testing procedure is specifically: **“Examine vendor documentation and configurations for NSCs to verify that anti-spoofing measures are implemented to detect and block forged source IP addresses from entering the trusted network.”** (req. 1.4.3, p. 60)

",good,"The answer matches the page’s testing procedure for Requirement 1.4.3: examine vendor documentation and NSC configurations to verify anti-spoofing measures detect and block forged source IP addresses from entering the trusted network. The only discrepancy is the page shown is page 56, not 60, but the substance is correct and supported."
Who needs to be made aware of the information security policy and their responsibilities?,295,"The information security policy and their responsibilities need to be made aware to all relevant personnel, as well as relevant third parties, vendors, and business partners. (req. 12.1.1, p. 291)

Also, the policy must define information security roles and responsibilities for all personnel, and all personnel must be aware of and acknowledge their information security responsibilities. (req. 12.1.3, p. 293)

Personnel also receive security awareness training and must acknowledge at least once every 12 months that they have read and understood the information security policy and procedures. (req. 12.6.3, p. 311)",bad,"The page supports that all relevant personnel, as well as relevant third parties, vendors, and business partners, must be aware of the information security policy and their responsibilities. However, the answer adds requirements from 12.1.3 and 12.6.3 that are not on the provided page, so it includes unsupported claims."
What are the allowed ways to handle primary functions that need different security levels on the same system component?,70,"Allowed ways are: 

- Only one primary function exists on a system component. (req. 2.2.3, p. 70)
- Primary functions with differing security levels on the same system component are isolated from each other. (req. 2.2.3, p. 70)
- Primary functions with differing security levels on the same system component are all secured to the level required by the function with the highest security need. (req. 2.2.3, p. 70)

The context also notes that, ideally, each function should be placed on different system components. (req. 2.2.3, p. 70)",good,"The answer correctly lists the three allowed ways from requirement 2.2.3 and includes the supporting guidance that ideally functions should be on different system components. However, it cites page 70, while the provided page is 66. The requirement number and substance are supported, but the page reference is incorrect and not supported by the given page."
Which people are allowed to see more than the BIN and last four digits of a PAN?,91,"Only personnel with a legitimate business need can see more than the BIN and last four digits of the PAN, and all roles not specifically authorized to see the full PAN must only see masked PANs. (req. 3.4.1, p. 91)",good,"The answer matches the page: it states that only personnel with a legitimate business need may see more than the BIN and last four digits, and that all other roles must see masked PANs. The requirement citation is not a substantive issue here, and the content is supported by the page."
What do they compare installed patches against when testing 6.3.3?,152,"For requirement 6.3.3, they compare the list of installed security patches/updates to **the most recent security patch/update information** (req. 6.3.3.b, p. 148).",good,The answer matches the testing procedure on the page: 6.3.3.b says to compare the list of installed security patches/updates to the most recent security patch/update information. This is directly supported by the page.
What anti-phishing controls have to be in place for personnel with access to in-scope system components?,136,"Personnel with access to system components in-scope for PCI DSS must be protected by **processes and automated mechanisms to detect and protect against phishing attacks** (req. 5.4.1, p. 136). The standard also says the focus of this requirement is specifically on **personnel with access to system components in-scope for PCI DSS** (req. 5.4.1, p. 136).

In addition, **security awareness training** must include awareness of **phishing and related attacks** and **social engineering** (req. 12.6.3.1, p. 312). The standard notes that this training requirement is **separate and distinct** from the technical/automated anti-phishing controls in 5.4.1 (req. 12.6.3.1, p. 312; req. 5.4.1, p. 136).

The standard gives examples of anti-phishing controls that can be used, such as **DMARC, SPF, DKIM, link scrubbers, server-side anti-malware, and training personnel to recognize and report phishing emails** (req. 5.4.1, p. 136).",bad,"The answer correctly states that processes and automated mechanisms must be in place to detect and protect personnel with access to in-scope system components against phishing attacks, which is supported by 5.4.1 and its applicability note. It also correctly notes the standard’s examples of anti-phishing controls from the page. However, it adds a claim about requirement 12.6.3.1 and specific security awareness training content that is not on the provided page, including an incorrect page citation. Because it includes unsupported extra requirements, it is not fully supported by the page."
"When do stored-account-data keys have to be retired, replaced, or destroyed under 3.7.5?",109,"Under 3.7.5, stored-account-data keys have to be retired, replaced, or destroyed when any of these occur: the key reaches the end of its defined cryptoperiod, the integrity of the key has been weakened, or the key is suspected of or known to be compromised. (req. 3.7.5, p. 109)

If retired or replaced keys are retained, they must be securely archived, and retired or replaced keys are not used for encryption operations. (req. 3.7.5, p. 109)",good,"The answer matches the page: it states the three conditions under 3.7.5 (end of cryptoperiod, weakened integrity, suspected/known compromise) and correctly notes that retired or replaced keys are not used for encryption operations and may be securely archived if retained. The only mismatch is the cited page number (page 109 vs the provided page 105), but the substantive content is supported by the page."
What do we have to do with vulnerabilities that aren’t classified as high-risk or critical?,272,"Vulnerabilities that aren’t ranked as high-risk or critical must still be managed, but they are addressed based on the risk defined in the entity’s targeted risk analysis, and rescans are conducted as needed to confirm they’ve been addressed. (req. 11.3.1.1, p. 268)

Also, for patches/updates, all other applicable security patches/updates must be installed within an appropriate time frame as determined by the entity’s assessment of the criticality of the risk to the environment. (req. 6.3.3, p. 148)

For penetration testing findings, exploitable vulnerabilities and security weaknesses are corrected according to the entity’s assessment of the risk posed by the security issue in Requirement 6.3.1. (req. 11.4.4, p. 278)",bad,"The first paragraph matches the page: non-high-risk/non-critical vulnerabilities are addressed based on targeted risk analysis and rescanned as needed. However, the answer adds requirements from unrelated pages (6.3.3 and 11.4.4), which are not on the provided page and are not needed to answer the question. Per instructions, extra correct detail is acceptable only if supported by the page; these additional claims are not supported here."
What evidence should be reviewed and who should be interviewed for requirement 9.5.1.2.1?,237,"For requirement 9.5.1.2.1, you should review the entity’s targeted risk analysis for the frequency of periodic POI device inspections and the type of inspections performed, and verify it was performed in accordance with Requirement 12.3.1. You should also review documented results of periodic device inspections. (req. 9.5.1.2.1.a, p. 233; req. 9.5.1.2.1.b, p. 233)

You should interview personnel to verify that the frequency and type of POI device inspections performed match what is defined in the targeted risk analysis. The requirement does not specify a particular job title or role. (req. 9.5.1.2.1.b, p. 233)

I don't know.",good,"The answer correctly identifies the evidence to review (targeted risk analysis and documented results of periodic device inspections) and correctly states that personnel should be interviewed, with no specific role named on the page. However, it includes an unnecessary 'I don't know' and cites the requirement as 9.5.1.2.1 while the page clearly supports the content. The substance is supported by the page."
How do you test compliance with 12.8.2 a and b?,320,"To test compliance with **12.8.2.a**, examine the **policies and procedures** to verify that processes are defined to maintain written agreements with **all TPSPs** in accordance with all elements of the requirement. (req. 12.8.2.a, p. 320)

To test compliance with **12.8.2.b**, examine the **written agreements with TPSPs** to verify they are maintained in accordance with all elements specified in the requirement. (req. 12.8.2.b, p. 320)",good,"The answer matches the page’s defined approach testing procedures for 12.8.2.a and 12.8.2.b. It correctly states to examine policies/procedures for defined processes and to examine written agreements with TPSPs for required elements. The cited page number differs from the provided page, but the substantive requirements are supported by the page."
How do assessors verify A3.1.1 compliance?,352,"Assessors verify A3.1.1 by examining documentation and records to confirm three things:  
- executive management has assigned overall accountability for maintaining PCI DSS compliance,  
- the PCI DSS charter defines the conditions under which the compliance program is organized, and  
- executive management and board of directors meeting minutes and/or presentations show PCI DSS compliance initiatives and remediation activities are communicated at least once every 12 months. (req. A3.1.1.a, p. 352; req. A3.1.1.b, p. 352; req. A3.1.1.c, p. 352)",good,"The answer matches the page's testing procedures for A3.1.1: it lists the three required examination steps and accurately describes them. The cited page number is off (page 352 instead of 348), but the substance is supported by the provided page. Since wording and length do not matter and the claims are correct, this is good."
"Does the monitoring process have to cover each TPSP individually, or can it be general?",323,"It has to cover **each TPSP** at least once every 12 months, so it cannot be only general. The requirement says “the PCI DSS compliance status of **each TPSP** is monitored at least once every 12 months” and the testing procedure also says to verify the compliance status of **each TPSP** is monitored at least once every 12 months. (req. 12.8.4, p. 319)

That said, the guidance says the status monitored should be **specific to the services delivered to the entity** and those in scope for the entity’s PCI DSS assessment, if the TPSP offers multiple services. So the monitoring is not just a broad general check; it should be tied to the applicable services. (req. 12.8.4, p. 319)

For responsibility information, TPSPs may define their PCI DSS responsibilities the same for all customers; otherwise, it should be agreed between the entity and TPSP. (req. 12.8.5, p. 321)",bad,"The answer is mostly supported by the page: it correctly states that monitoring must cover each TPSP at least once every 12 months, and it correctly cites the guidance that monitoring should be specific to the services delivered and in scope. However, it also adds a claim about req. 12.8.5 on p. 321, which is not on the provided page, so it includes unsupported content."
What has to be in place for manual cleartext key-management operations under PCI DSS 3.7.6?,110,"For manual cleartext cryptographic key-management operations, PCI DSS requires that key-management policies and procedures be in place and that these operations be managed using **split knowledge and dual control**. This applies to manual key-management operations such as key generation, transmission, loading, storage, and destruction. (req. 3.7.6, p. 106; req. 3.7.6, p. 107)

Also, cleartext key-management operations cannot be carried out by a single person, and cleartext secret or private keys cannot be known by anyone. (req. 3.7.6, p. 106)

If key components or key shares are used, they must be generated either:
- using an approved random number generator within a secure cryptographic device such as an HSM or PTS-approved point-of-interaction device, or
- according to ISO 19592 or an equivalent industry standard for generating secret key shares. (req. 3.7.6, p. 106)

One related control is that access to cleartext cryptographic key components must be restricted to the fewest number of custodians necessary. (req. 3.6.1.3, p. 100)",bad,"The answer correctly states that manual cleartext key-management operations require key-management policies and procedures and that they be managed using split knowledge and dual control. However, it adds several claims not supported by the provided page: examples of specific manual operations (generation, transmission, loading, storage, destruction), the statement that cleartext secret or private keys cannot be known by anyone, and a reference to req. 3.6.1.3. The question asks what has to be in place for PCI DSS 3.7.6, and the page only supports the split knowledge and dual control requirement for manual cleartext key-management operations."
What controls are required if a system or application account can be used to log in interactively?,210,"If a system or application account can be used for interactive login, it must be managed so that: interactive use is prevented unless needed for an exceptional circumstance; interactive use is limited to the time needed for that circumstance; the business justification is documented; the use is explicitly approved by management; individual user identity is confirmed before access is granted; and every action is attributable to an individual user. (req. 8.6.1, p. 210)

Also, passwords/passphrases for any such account must not be hard coded in scripts, configuration/property files, or bespoke/custom source code. (req. 8.6.2, p. 211)

In addition, those accounts and related access privileges must be assigned and managed based on least privilege and limited to the systems, applications, or processes that specifically require their use. (req. 7.2.5, p. 173)",bad,"The page supports the 8.6.1 interactive-login controls, which the answer includes correctly. However, it also adds requirements from 8.6.2 and 7.2.5 that are not on the provided page, and the cited page numbers are not relevant to this page. Because the answer includes unsupported extra claims, it is not fully supported by the page."
"What inventory details are needed for HSMs, KMS, and other secure cryptographic devices?",101,"For HSMs, KMS, and other secure cryptographic devices, the inventory needs to include the **type and location of the devices**. This inventory is part of the documented cryptographic architecture for service providers. (req. 3.6.1.1, p. 101)

The requirement also says the inventory is for **HSMs, KMS, and other secure cryptographic devices used for key management**. (req. 3.6.1.1, p. 101)

I don't know of any additional inventory details for those devices beyond **type and location** from the provided context.",good,"The answer correctly states that the inventory for HSMs, KMS, and other SCDs must include type and location, and that these devices are used for key management. However, it cites page 101 instead of the provided page 97. The substance is supported by the page, and the extra statement about not knowing additional details does not contradict it."
"For A1.2.1, who is allowed to review a customer’s logs?",343,"For A1.2.1, logs are available for review only by the owning customer (req. A1.2.1, p. 343).",good,"The page states that logs are available for review only by the owning customer. The answer matches this requirement, though the page shown is page 339 rather than 343; the page reference is extraneous but does not affect the substance."
What does requirement 10.4.3 say about exceptions and anomalies in the review process?,255,"Requirement 10.4.3 says that exceptions and anomalies identified during the review process are addressed. It also requires that processes be defined for addressing them, and that when they are identified, they are addressed. (req. 10.4.3, p. 251)",good,"The answer matches the page: requirement 10.4.3 states that exceptions and anomalies identified during the review process are addressed, and the testing procedures say processes must be defined and verified to address them when identified. No unsupported claims are made."
How do you check that anti-malware is set up correctly for removable electronic media under 5.3.3?,133,"To check that anti-malware is set up correctly for removable electronic media under 5.3.3, you:

- Examine the anti-malware solution configuration to verify it is set to do at least one of these for removable electronic media: automatic scans when media is inserted, connected, or logically mounted, or continuous behavioral analysis when the media is inserted, connected, or logically mounted. (req. 5.3.3.a, p. 133)
- Examine system components with removable electronic media connected to verify the solution is enabled in accordance with at least one of those elements. (req. 5.3.3.b, p. 133)
- Examine logs and scan results to verify the solution is enabled in accordance with at least one of those elements. (req. 5.3.3.c, p. 133)",bad,"The answer correctly states the testing procedures for 5.3.3: examine configuration, system components, and logs/scan results to verify at least one required anti-malware behavior for removable electronic media. However, it cites page 133, while the provided page is 129. The content itself is supported, but the page reference is not supported by the provided page."
What should the reviewer check in NSC settings for 1.2.5?,51,"For 1.2.5.b, the reviewer should examine the configuration settings for NSCs to verify that only approved services, protocols, and ports are in use. (req. 1.2.5, p. 51)",good,"The answer matches the page: for 1.2.5.b the reviewer examines NSC configuration settings to verify only approved services, protocols, and ports are in use. The requirement citation content is supported by the page, though the page shown is page 47 rather than 51, but the substantive answer is correct."
