question,document
Does 6.5.5 allow live PANs outside the CDE if the pre-prod environment is protected?,163
What has to be removed from system components before production under 6.5.6?,164
How do you verify that test data and test accounts are cleared before a system goes live?,164
What should you look for in recently installed or updated applications to confirm no test accounts are in production?,164
What do the procedures need to define about removing test data and test accounts before production?,164
What is the objective of the customized approach for requirement 6.5.6?,164
What does Requirement 7.1 say about how access to system components and cardholder data has to be controlled?,166
"According to 7.1.1, what has to be true of the security policies and operating procedures listed in Requirement 7?",166
How do you verify compliance with 7.1.1—what evidence and people should be checked?,166
"Does 7.1.1 require the documents to be only written, or also current, used, and known by the right staff?",166
What is the purpose of 7.1.1 in relation to the policies and procedures in Requirement 7?,166
What does 7.1.2 require for roles and responsibilities in Requirement 7?,167
How do you test compliance with 7.1.2?,167
What should the assessor look for in documentation for 7.1.2?,167
Do staff responsible for Requirement 7 need to understand their assigned duties?,167
What is the objective of the customized approach for Requirement 7 roles and responsibilities?,167
What has to be included in the access control model for 7.2.1?,168
How do you verify the access control model under 7.2.1?,168
Does 7.2 require access to be based on job role and least privilege?,168
"What should be checked in policies, procedures, and settings for 7.2.1?",168
Which PCI DSS requirement covers defining and assigning access appropriately?,168
What has to drive user access assignments under 7.2.2?,170
How should privileged access be limited for each user role?,170
What do assessors need to check to confirm 7.2.2 is in place?,170
"Under 7.2.2, what should be reviewed in user access settings and management interviews?",170
What is the objective of the customized approach for access control here?,170
Who has to approve assigned access privileges under 7.2.3?,171
What written process is needed for approving all user privileges?,171
How do you verify that a user's privileges were properly authorized?,171
Do the approved privileges need to match the person's assigned role?,171
What does PCI DSS 7.2.3 require before granting required privileges?,171
How often must all user accounts and access rights be reviewed under 7.2.4?,172
What has to be checked during the access review so privileges stay appropriate?,172
What should happen if the review finds access that should not be there?,172
How does management need to respond to the results of the account review?,172
What do assessors look at to verify compliance with 7.2.4?,172
What access rules have to be applied to application and system accounts under 7.2.5?,173
How do you test that application and system account privileges are managed correctly for 7.2.5?,173
What evidence is needed to verify 7.2.5.a?,173
What should account access be limited to according to 7.2.5?,173
"Is requirement 7.2.5 mandatory yet, or still treated as a best practice until a certain date?",173
How often do application and system account access rights have to be reviewed under 7.2.5.1?,174
What has to be checked during the review of application and system account privileges?,174
What do reviewers need to do if they find access that shouldn’t be there?,174
How is compliance with 7.2.5.1 verified in an assessment?,174
When does 7.2.5.1 stop being optional and become required?,174
What controls are required for user access to query stored cardholder data repositories under 7.2.6?,175
Who is allowed to directly query a stored cardholder data repository?,175
How must access and permitted actions be set when users query stored CHD through applications or other programmatic methods?,175
What do auditors need to review to verify compliance with 7.2.6?,175
What is the requirement number for restricting direct ad hoc access to stored cardholder data repositories?,175
What does Requirement 7.3 say about how access to system components and data has to be managed?,176
"Under 7.3.1, what has to be in place to limit access by need-to-know across all system components?",176
How do you test compliance with 7.3.1?,176
"What does 7.3.2 require the access control system to enforce for users, apps, and systems?",176
How do you verify 7.3.2 using vendor docs and system settings?,176
How do I verify the access control system is configured to deny access by default under 7.3.3?,177
What default setting must the access control system use for requirement 7.3.3?,177
Which requirement says the access control system has to be set to deny all by default?,177
What evidence is checked to confirm the default access control setting for 7.3.3?,177
Why does PCI DSS want access control systems to start from a deny-all setting?,177
What has to be true for the security policies and procedures in Requirement 8?,180
How do you verify that Requirement 8 policies and procedures are managed properly?,180
"Are the Requirement 8 procedures required to be documented, current, and actually used?",180
Who needs to know the policies and operational procedures tied to Requirement 8?,180
What is PCI DSS requirement 8.1.1 asking an organization to do?,180
What does 8.1.2 require for roles and responsibilities tied to Requirement 8?,181
How do you test compliance with 8.1.2?,181
What should be checked in documentation for 8.1.2?,181
"Who needs to be interviewed to verify 8.1.2, and what should they understand?",181
"Under Requirement 8, how are duties for the related activities supposed to be handled?",181
What does requirement 8.2 say about managing user and admin accounts over their lifecycle?,182
"Before anyone can access system components or cardholder data, what must be true about their user ID under 8.2.1?",182
How do you verify that each person’s access can be traced back to an individual in 8.2.1?,182
What evidence should be reviewed to confirm unique user identification for system and cardholder data access?,182
Does 8.2.1 apply to POS user accounts that can only access one card number at a time?,182
When are shared or generic user IDs allowed under 8.2.2?,183
What controls does 8.2.2 require for shared authentication credentials?,183
How do I verify compliance with 8.2.2 on user accounts and procedures?,183
What does 8.2.2 say about who must approve use of a shared account?,183
Does 8.2.2 apply to POS terminal accounts that handle only one card number at a time?,183
What does requirement 8.2.3 require service providers to do for remote access to different customer sites?,184
How do you test whether a service provider is using separate authentication factors for each customer premises?,184
Why is sharing one remote-access authentication factor across customers considered risky under 8.2.3?,184
"In 8.2.3, what is the customized approach objective for a provider’s customer-specific credential?",184
What evidence should an assessor review to confirm compliance with 8.2.3 for service-provider assessments?,184
"What has to happen to user IDs and authentication factors when they’re added, changed, or deleted?",186
How do you check that account lifecycle changes were properly approved and only the approved access was put in place?,186
Who does 8.2.4 apply to?,186
What must be done to access for terminated users?,186
"Under 8.2.5, what evidence or checks are used to confirm a terminated user’s access and physical auth factors are disabled or returned?",186
How long can a user account stay inactive before it has to be removed or disabled?,187
What do we need to do with third-party remote access accounts when they’re not needed?,187
How do assessors check that inactive accounts are handled on time?,187
What evidence shows third-party access is only enabled when needed and watched for suspicious use?,187
What does PCI DSS 8.2.7 require for remote accounts used by vendors or support providers?,187
What does PCI DSS 8.2.8 require when a session has been idle for more than 15 minutes?,189
How do you verify that idle-time controls for user sessions meet 8.2.8?,189
What timeout value is allowed for user sessions before re-authentication is needed?,189
Which requirement says to re-authenticate before reactivating an idle terminal or session?,189
Does 8.2.8 apply to POS accounts that can access only one card number at a time?,189
What authentication factor(s) are acceptable for user and admin access to system components under 8.3.1?,190
How does 8.3.1 say you should check that authentication is working as intended?,190
What is the exact requirement number for the rule about authenticating all user access with at least one factor?,190
Does 8.3.1 allow digital certificates to count as a possession factor?,190
Are POS terminal accounts that handle only one card number at a time covered by this requirement?,190
What does requirement 8.3.2 require for authentication factors in transit and at rest?,191
How do you verify that passwords and other auth data are unreadable when sent over the network?,191
What evidence should an assessor review to confirm auth factors are protected with strong cryptography?,191
"Under 8.3.2, what needs to be true when checking stored repositories of authentication factors?",191
What is the objective behind 8.3.2 regarding cleartext authentication factors?,191
What has to happen before any authentication factor is changed for a user?,192
How do you test whether identity checks are done before changing an authentication factor?,192
Which PCI DSS requirement covers verifying user identity before modifying authentication factors?,192
What are some acceptable ways to confirm a user’s identity before a password reset or token change?,192
Why does PCI DSS require identity verification before authentication factors are modified?,192
"What is the maximum number of bad login tries allowed before an account is locked, and how long must it stay locked?",193
"For requirement 8.3.4, how do you test that lockout settings are configured correctly?",193
"When a password or passphrase is used for 8.3.1, what has to happen the first time it’s set or reset?",193
How is compliance with requirement 8.3.5 verified for password setup and reset procedures?,193
Can a locked account be reopened before 30 minutes if the user’s identity is confirmed?,193
What password complexity does 8.3.6 require when passwords are used for authentication?,194
"If a system can’t support 12 characters, what’s the shortest allowed password length under 8.3.6?",194
What does 8.3.6 require passwords to include besides letters?,194
How do you verify compliance with the 8.3.6 password complexity requirement?,194
"Which accounts are excluded from 8.3.6, and when does this requirement become mandatory?",194
What does 8.3.7 require about reusing old passwords or passphrases?,195
How many previous passwords or passphrases must be blocked under 8.3.7?,195
How do you test compliance with 8.3.7 in system settings?,195
For how long must a previously used password be unusable under the customized approach objective?,195
Which user accounts are out of scope for 8.3.7 according to the applicability note?,195
What must authentication policies and procedures cover for users under requirement 8.3.8?,196
How do you prove that the authentication policy was shared with everyone who uses it?,196
What do you check in the user-facing auth policy to confirm it meets 8.3.8?,196
What should users be told to do if they think a password or passphrase has been exposed?,196
How is compliance with 8.3.8 verified when interviewing users?,196
"When a login relies only on a password or passphrase, what has to be done to meet 8.3.9?",197
How often must passwords be changed if they’re the only factor used for user access?,197
What’s the alternative to a 90-day password change cycle under requirement 8.3.9?,197
How do you verify compliance with 8.3.9 during an assessment?,197
"Does 8.3.9 apply when MFA is in use, or to POS terminals and service provider customer accounts?",197
"For service providers, what guidance has to be given to customers when passwords are the only login factor for access to card data?",199
"According to 8.3.10, what two topics must the customer-facing password guidance cover?",199
"When single-factor password authentication is used for customer access, how is the guidance checked during an assessment?",199
"Who does requirement 8.3.10 apply to, and who is it not meant for?",199
What happens to the service-provider version of 8.3.10 once 8.3.10.1 takes effect?,199
What has to be done when a service provider uses only a password or passphrase for customer user access?,200
How often must those passwords or passphrases be changed under Requirement 8.3.10.1?,200
What alternative to periodic password changes is allowed by 8.3.10.1?,200
How do you verify compliance with 8.3.10.1 during a service provider assessment?,200
Does 8.3.10.1 apply to consumer users or only to service providers?,200
"What has to be true when we issue tokens, smart cards, or certificates to users?",201
How do we prove those authentication factors aren’t being shared between users?,201
What controls are needed so only the right person can use the factor to log in?,201
"For PCI DSS 8.3.11, what does the tester need to review or observe?",201
Can one security token or certificate be used by more than one user under 8.3.11?,201
What does 8.4 require for securing access to the CDE?,202
"For 8.4.1, who has to use MFA when connecting to the CDE without a console?",202
How do you verify that MFA is enforced for non-console administrative access to the CDE?,202
Does 8.4.1 apply to all staff with elevated privileges accessing the CDE over a network connection?,202
Is using two passwords counted as MFA under this requirement?,202
What does requirement 8.4.2 require for non-console access into the CDE?,203
How do you verify that MFA is in place for all non-console logins to the CDE?,203
"When checking 8.4.2, what configuration evidence should be reviewed?",203
What should an assessor observe to confirm MFA is required for CDE access?,203
What is the security objective behind 8.4.2?,203
What does 8.4.3 require for remote access coming from outside the network that could reach or affect the CDE?,206
How do you test that MFA is enforced for external remote connections under 8.4.3?,206
What evidence should be reviewed to confirm remote access servers and systems need MFA for 8.4.3.a?,206
"What should be observed for users, admins, and third parties connecting remotely to satisfy 8.4.3.b?",206
"Under Requirement 8.4.3, can remote access be allowed with only one authentication factor?",206
What has to be true about MFA setups so they can’t be misused or bypassed?,208
How do you check whether the MFA solution is protected against replay attacks?,208
"Can administrators ever skip MFA, and if so, under what conditions?",208
What does requirement 8.5.1 say must happen before access is allowed through MFA?,208
"When testing 8.5.1, what evidence is reviewed and what is observed for local and remote logins?",208
What controls are required if a system or application account can be used to log in interactively?,210
How do you prove interactive use of these accounts is handled correctly during an assessment?,210
"When interactive use is allowed for a system or application account, what approvals and documentation are needed?",210
What does PCI DSS 8.6 require for managing application and system accounts and their authentication factors?,210
"Under requirement 8.6.1, what must be checked so every action on an interactive system or application account can be tied to one person?",210
What does PCI DSS 8.6.2 prohibit for app or system accounts that can be used to log in interactively?,211
How do you verify compliance with 8.6.2 in source code and config files?,211
What do procedures need to say about passwords for interactive-login application/system accounts under 8.6.2.a?,211
Which files or code should be checked to confirm 8.6.2.b?,211
When does 8.6.2 stop being a best practice and become required?,211
What has to be done to application and system account passwords or passphrases to keep them from being misused?,212
How should the change frequency and password complexity for application and system accounts be set under 8.6.3?,212
What evidence do assessors need to review for requirement 8.6.3 to confirm the controls are in place?,212
What does 8.6.3.b say the targeted risk analysis has to cover?,212
When does requirement 8.6.3 stop being a best practice and become mandatory?,212
What does Requirement 9 say about restricting physical access to cardholder data?,215
"Under 9.1.1, what has to be true of the security policies and operating procedures in Requirement 9?",215
How do you check compliance with 9.1.1?,215
Why does 9.1.1 focus on managing and maintaining the policies and procedures in Requirement 9?,215
What are the expectations for communicating Requirement 9 policies and procedure updates to affected personnel?,215
What does PCI DSS require for roles and responsibilities under Requirement 9.1.2?,216
How do you test whether Requirement 9.1.2 is in place?,216
What should an assessor look for to confirm the Requirement 9 activities are assigned and understood?,216
What number covers the requirement to document and assign responsibilities for Requirement 9 tasks?,216
How can an organization show that staff know their assigned duties for Requirement 9?,216
What physical controls have to be in place to keep people out of CDE systems at a facility entrance?,217
How do you check that entry controls are actually restricting access to CDE systems?,217
What does requirement 9.2 say physical access controls are meant to protect against?,217
"Does 9.2.1 apply to areas open to consumers, or only to restricted locations?",217
"For 9.2, what kinds of mechanisms count as acceptable physical access control examples?",217
What has to be in place to monitor individual entry and exit at sensitive areas inside the CDE?,218
How do you verify the monitoring setup is protected against tampering or disabling?,218
What must be done with the access data after it’s collected?,218
How long does the collected monitoring data have to be kept?,218
What does requirement 9.2.1.1 say about maintaining records of physical access to sensitive areas?,218
What controls are required for publicly reachable network jacks in the facility?,219
How do you test that open network ports inside the building are restricted properly?,219
What does requirement 9.2.3 say about access to wireless access points and telecom lines?,219
How is compliance with 9.2.3 verified during assessment?,219
What is the objective behind restricting physical access to networking and communications equipment?,219
How do I meet requirement 9.2.4 for consoles in sensitive areas when they’re not being used?,220
What should an assessor look for to verify console access control under 9.2.4?,220
Does PCI DSS require consoles in sensitive areas to be locked when idle?,220
"In 9.2.4, what stops unauthorized people from using system consoles in sensitive areas?",220
What is the customized approach objective for console access in sensitive areas?,220
What has to be in place to manage physical access for people in the CDE?,221
How do you prove personnel in the CDE are clearly identified?,221
What should happen when someone’s physical access needs change or they leave?,221
Who is allowed to use or control the badge or ID system?,221
What does requirement 9.3.1 say about authorizing and managing access to the CDE?,221
What controls are required for physical access to sensitive areas in the CDE under 9.3.1.1?,222
How do you verify that access to sensitive areas is only given when the person’s job needs it?,222
What does 9.3.1.1 say must happen to physical access when someone leaves the organization?,222
How is immediate revocation of physical access after termination tested in 9.3.1.1.b?,222
"What do you check under 9.3.1.1.c for keys, badges, and other access devices after termination?",222
What procedures are required for visitor access to the CDE under 9.3.2?,223
How do you verify visitors are authorized and escorted in the CDE?,223
Do visitor badges have to expire and be visibly different from staff badges?,223
What should be checked to confirm visitor ID does not allow unescorted CDE access?,223
What is the objective of the customized approach for visitor access control in 9.3.2?,223
What has to happen to a visitor badge when the visit ends or the badge expires?,224
What information needs to be in the visitor log under requirement 9.3.4?,224
"How long must visitor logs be kept, unless a law says otherwise?",224
How is compliance with visitor badge return/deactivation checked for 9.3.3?,224
What does 9.3.4 require the log to record about who authorized the visit?,224
What does requirement 9.4 say about protecting media that contains cardholder data?,225
How do you verify 9.4.1 is in place for physically securing all media with cardholder data?,225
What is required for offline backups with cardholder data under 9.4.1.1?,225
What evidence is needed to check that offline cardholder-data backups are stored securely?,225
What is the objective of 9.4.1.1 in the customized approach?,225
How often must the offline backup storage location security be reviewed for cardholder data media under 9.4.1.2?,226
What evidence does 9.4.1.2 require to show the backup location review is happening on schedule?,226
What does 9.4.2 require for classifying media that contains cardholder data?,226
How do you test compliance with 9.4.2 for media classification?,226
Does PCI require a specific label like “confidential” on media with cardholder data?,226
What has to happen when cardholder-data media leaves the facility under 9.4.3?,227
How do you prove media sent offsite is being logged and tracked for 9.4.3?,227
What details need to be in the offsite tracking log for media with cardholder data?,227
"Does 9.4.3 require a secured courier, or can some other trackable delivery method be used?",227
What records or interviews are used to test compliance with 9.4.3?,227
What has to be approved by management before it leaves the facility under requirement 9.4.4?,228
How do assessors verify that offsite media movements are properly authorized for 9.4.4?,228
Do the people approving media movement need to have “manager” in their job title for 9.4.4?,228
What does 9.4.5 require for electronic media that contains cardholder data?,228
How is compliance with 9.4.5 tested for electronic media inventory logs?,228
How often do we have to inventory electronic media that holds cardholder data under requirement 9.4.5.1?,229
What proof does the assessor need to see that media inventory procedures are defined and followed at least every 12 months?,229
"Does the annual inventory requirement apply to all electronic media, or only media containing cardholder data?",229
Which PCI DSS requirement number covers periodic inventory of electronic media with cardholder data?,229
"What do the testing steps for 9.4.5.1 look for in documents, logs, and interviews?",229
What has to happen to hard-copy cardholder data when it’s no longer needed for business or legal reasons?,230
How do you need to destroy paper records so the card data can’t be put back together?,230
What should be used to hold items awaiting destruction before they’re shredded or pulped?,230
How is compliance with requirement 9.4.6 checked during an assessment?,230
What is the objective of requirement 9.4.6?,230
What has to happen to electronic media that still contains cardholder data when it’s no longer needed for business or legal reasons?,231
What are the allowed ways to destroy or sanitize that media under requirement 9.4.7?,231
How do you test that the media destruction process meets 9.4.7?,231
What does the policy need to say for 9.4.7.a?,231
Is media destruction under 9.4.7 the same as the secure deletion rule in requirement 3.2.1?,231
What has to be in place to protect POI devices that read cards by direct contact?,232
"For requirement 9.5.1, what device-protection activities need to be defined in policy or procedure?",232
How do you check whether a merchant’s POI devices are covered by the required tamper checks and controls?,232
Does 9.5 require staff to be trained to spot and report suspicious device changes?,232
What specifically does 9.5.1 say to review during testing to confirm the process is defined?,232
What has to be on the POI device inventory for 9.5.1.1?,233
"For requirement 9.5.1.1, how do you check the device list is current and accurate?",233
What specific items must the reviewer confirm in the POI device list under 9.5.1.1.a?,233
How is the POI device inventory validated against what’s actually deployed under 9.5.1.1.b?,233
"Which devices are in scope for these POI inventory rules, and which ones are excluded?",233
What has to be done to point-of-interaction device surfaces under requirement 9.5.1.2?,235
How are periodic POI device inspections checked during an assessment?,235
What evidence should auditors look for to confirm device-surface inspections are defined in procedures?,235
What does 9.5.1.2.b require staff to know and do when inspecting POI devices?,235
What kind of device changes are these inspections meant to catch?,235
"What determines how often POI devices have to be inspected, and what kind of inspection is done?",237
How do you verify that POI inspection frequency matches the organization’s risk analysis?,237
What evidence should be reviewed and who should be interviewed for requirement 9.5.1.2.1?,237
Which requirement says periodic POI device inspections must be set by targeted risk analysis?,237
"Is 9.5.1.2.1 still optional, or does it become mandatory after 31 March 2025?",237
What training must POI staff get to spot tampering or device swaps?,238
How do you confirm a person claiming to be maintenance is really authorized before giving access?,238
"What should the procedures cover so a POI device isn’t installed, replaced, or returned without checks?",238
How is compliance with requirement 9.5.1.3 tested during an assessment?,238
What has to be included in the training review and staff interviews for 9.5.1.3?,238
What has to be true for the security policies and procedures in Requirement 10?,241
How do you check that Requirement 10 policies and procedures are being managed correctly?,241
What is the purpose of Requirement 10.1.1?,241
Do the logging and monitoring policies need to be documented and kept current?,241
What does 10.1 say about processes for logging access to system components and cardholder data?,241
What does 10.1.2 require for roles and responsibilities tied to Requirement 10?,242
How do you verify that Requirement 10 duties are documented and assigned?,242
What should be checked in the docs for 10.1.2?,242
What do interviewees need to show for 10.1.2 compliance?,242
What is the objective of the customized approach for Requirement 10 activities?,242
What does 10.2 require for audit logs across system components?,243
"Under 10.2.1, what has to be enabled and active for every system component and cardholder data?",243
How is 10.2.1 checked during an assessment?,243
What does 10.2.1.1 say about logging user access to cardholder data?,243
How do you verify compliance with 10.2.1.1?,243
"What has to be recorded for anyone with admin-level access, including when they use app or system accounts interactively?",244
How do you check that activity by privileged users is being logged properly?,244
Do audit logs need to record every time someone accesses the logs themselves?,244
What is the test step for proving access to audit logs is captured?,244
"Under requirement 10.2.1.4, what kind of logical access attempts must be logged?",244
What audit-log events have to be recorded for account/credential changes under 10.2.1.5?,246
"Under 10.2.1.5, does logging need to include new account creation and admin account changes?",246
How do you verify compliance with 10.2.1.5 in the logs and log settings?,246
What does 10.2.1.6 require audit logs to capture about log initialization and status changes?,246
"For 10.2.1.6, what should be checked to confirm start, stop, or pause events are being logged?",246
What audit-log details have to be recorded for each event under 10.2.2?,247
How do you prove that system-level object creation and deletion is logged under 10.2.1.7?,247
What specific log fields are required for each auditable event in 10.2.2?,247
What does 10.2.1.7 require for detecting changes to system-level objects?,247
How should auditors verify compliance with 10.2.2 and 10.2.1.7?,247
How are audit logs protected so they can’t be destroyed or changed without authorization?,248
Who is allowed to read audit log files under requirement 10.3.1?,248
What does requirement 10.3.1 say about read access to audit logs?,248
How do you verify that only staff with a job-related need can read audit logs?,248
"Does the protection for audit logs also apply when the logs are stored somewhere else, not just on the source system?",248
How are current audit logs supposed to be protected from tampering by users?,249
What controls does 10.3.2 say to check when verifying log protection?,249
"Are logs from external-facing systems required to be backed up centrally, and how quickly?",249
What does the assessor look at for 10.3.3 to confirm log backups are protected?,249
Why does PCI require audit logs to be stored on a secure internal server or other hard-to-change media?,249
What controls are required to make sure audit logs can’t be altered without an alert?,250
"For requirement 10.3.4, what has to be in place on audit logs?",250
How do you verify that file integrity monitoring is being used on audit logs?,250
"Should a monitoring tool alert when new log entries are added, or only when existing log data is changed or deleted?",250
What is the objective of the customized approach for requirement 10.3.4?,250
"What has to be reviewed in the audit logs, and how often?",251
Which logs are included under 10.4.1 for the daily review requirement?,251
How do you verify that log review is being done at least once a day?,251
What is the requirement number for daily review of audit logs for anomalies?,251
"If a provider handles log reviews, what does the organization still need to give them?",251
What does PCI DSS 10.4.1.1 require for audit log reviews?,252
How is compliance with 10.4.1.1 checked during assessment?,252
Which tools or systems can be used to automate log review under requirement 10.4.1.1?,252
What is the goal of the automated log review mechanism in 10.4.1.1?,252
When does requirement 10.4.1.1 stop being a best practice and become mandatory?,252
What does Requirement 10.4.2 require for logs from system components not covered by 10.4.1?,253
Which logs have to be reviewed periodically under 10.4.2?,253
How can an assessor verify that 10.4.2 is being met?,253
What evidence and interviews are used to test periodic log review for 10.4.2?,253
"Does 10.4.2 apply to all in-scope system components, or only some of them?",253
How often must log reviews be done for system components not covered by 10.4.1?,254
What does the targeted risk analysis for 10.4.2.1 have to follow?,254
How do you verify compliance with 10.4.2.1.a during an assessment?,254
What evidence is checked to confirm 10.4.2.1.b is met?,254
"Is 10.4.2.1 mandatory now, or still a best practice until 31 March 2025?",254
What has to happen when log-review exceptions or anomalies are found?,255
How do you show that suspicious findings from log review are handled?,255
What does requirement 10.4.3 say about exceptions and anomalies in the review process?,255
How is compliance with 10.4.3 checked during an assessment?,255
What should security policies and procedures include for dealing with review exceptions and anomalies?,255
"What is the minimum audit log retention period, and how much must be instantly accessible?",256
How do I prove audit log history is kept long enough under requirement 10.5.1?,256
What documents and checks are used to test 10.5.1 for log retention and availability?,256
What does 10.5.1 require for the newest three months of audit logs?,256
How are staff and system settings checked to confirm audit logs stay available for analysis?,256
What does PCI DSS 10.6 require for keeping time consistent across systems?,257
How do you verify compliance with 10.6.1 for system clock synchronization?,257
"What kind of technology can be used for time synchronization, and is NTP an example?",257
Why is synchronized time important for log review and incident forensics?,257
What does the standard say about keeping time-synchronization technology current under 6.3.1?,257
What has to be in place so systems stay on the same correct time?,258
Which time sources are allowed for the central time server under 10.6.2?,258
How do internal systems need to get time updates according to requirement 10.6.2?,258
What should be checked to verify 10.6.2 is set up correctly?,258
"If there are multiple designated time servers, how must they work together?",258
What does 10.6.3 require for protecting time synchronization settings and data?,259
Who is allowed to access time data under requirement 10.6.3?,259
How must changes to time settings on critical systems be handled?,259
How is 10.6.3.a tested for compliance?,259
What does the test in 10.6.3.b look for in logs and monitoring?,259
What has to happen when a critical security control system fails?,260
Which control types must be covered by the service-provider-only failure process in 10.7.1?,260
How do you prove the process for 10.7.1 exists and works?,260
"Does 10.7.1 apply to all organizations, or only service providers?",260
What is the exact wording of requirement 10.7.1?,260
What has to happen when a critical security control fails?,261
Which control-system failures does 10.7.2 explicitly cover?,261
How do you prove 10.7.2 is implemented during assessment?,261
What does 10.7.2.b expect the assessor to observe and ask staff about?,261
"When does 10.7.2 replace 10.7.1, and is it mandatory before then?",261
What has to happen when a critical security control fails?,262
What details need to be recorded about a security control failure?,262
How do you prove the incident response process for critical security control failures is in place?,262
"Under 10.7.3, what do reviewers need to see in the records of a control failure?",262
What actions are required to make sure monitoring and security functions are restored after a failure?,262
What has to be true for the security policies and procedures in Requirement 11?,265
How do you prove the Requirement 11 policies and procedures are being managed properly?,265
Are the Requirement 11 documents supposed to be kept current and actually used?,265
Who needs to know the security policies and operating procedures tied to Requirement 11?,265
What does 11.1.1 require for policies and procedures related to Requirement 11?,265
What does 11.1.2 require about roles for Requirement 11 activities?,266
How do you verify that the Requirement 11 responsibilities are assigned and understood?,266
What should the assessor check in 11.1.2.a?,266
What should personnel confirm in the 11.1.2.b interview?,266
"For Requirement 11, are responsibilities allowed to be kept in a separate document or do they have to be in the policy?",266
"What does PCI DSS require for finding and handling wireless access points, both approved and unapproved?",267
How often do we need to test for Wi‑Fi access points and identify any unauthorized ones?,267
"If we use automated wireless monitoring, what has to happen when it finds an access point?",267
What evidence do assessors look for to confirm our wireless access point checks meet 11.2.1?,267
Which PCI DSS requirement covers monitoring wireless access points and addressing unauthorized ones?,267
What has to be kept for approved wireless access points under 11.2.2?,269
What business reason must be documented for each authorized wireless access point?,269
How do you verify compliance with requirement 11.2.2?,269
What does the assessment team review to confirm the wireless AP inventory is maintained?,269
What is the goal of 11.2.2 regarding unauthorized wireless access points?,269
How often do internal vulnerability scans have to run under 11.3.1?,270
What must happen to high-risk and critical findings from internal scans?,270
What does the assessor check to confirm the scan tool is current with vulnerability data?,270
"How does PCI DSS say to verify internal scans were done by qualified, independent testers?",270
What evidence is reviewed to prove internal rescans cleared all high-risk and critical vulnerabilities?,270
What do we have to do with vulnerabilities that aren’t classified as high-risk or critical?,272
How do we prove the handling of lower-risk vulnerabilities is based on risk?,272
Does the scan process need follow-up rescans for these other vulnerabilities?,272
What does 11.3.1.1 say about the timing for fixing lower-ranked vulnerabilities?,272
What should the targeted risk analysis for 11.3.1.1 include at a minimum?,272
What has to be true for internal vulnerability scans under 11.3.1.2?,273
How do assessors check that authenticated scanning is actually being used for internal scans?,273
What should happen when a scan account can also be used to log in interactively?,273
"Which systems are allowed to be excluded from authenticated scanning, and how must they be handled?",273
What does 11.3.1.2.d require auditors to look for in the documentation?,273
"What has to happen to internal vulnerability scans after a significant change, and who is allowed to perform them?",274
"When a change is made, what do the scan results need to show about high-risk and critical vulnerabilities?",274
How do you verify compliance with requirement 11.3.1.3 for post-change internal scans?,274
"Do rescans need to be done after a significant change, and if so, under what condition?",274
Is authenticated internal scanning required for scans done after significant changes?,274
How often do external vulnerability scans have to run for 11.3.2?,275
Who has to perform the external vulnerability scans under 11.3.2?,275
What has to be true for an external scan report to count as passing?,275
What do you need to review in the last 12 months to check compliance with 11.3.2?,275
Is 11.3.2 allowed under the customized approach?,275
"What has to happen to external vulnerability scans after a major change, and what gets done about findings scored 4.0 or higher?",277
How do you verify that external scans were run after significant changes to systems?,277
What evidence is checked to confirm rescans were done and high-scoring vulnerabilities were fixed after a change?,277
"Who is allowed to perform the post-change external vulnerability scans, and does the tester have to be independent?",277
"For requirement 11.3.2.1, what do you look for in change records and scan reports during the test?",277
What has to be in the penetration-testing methodology for 11.4.1?,278
Does 11.4 require testing from both inside and outside the network?,278
How do we verify compliance with 11.4.1?,278
Are segmentation and scope-reduction controls supposed to be tested during penetration testing?,278
How long must penetration-test results and remediation records be kept?,278
"How often do we need to run internal penetration tests, and when else should they be repeated?",280
What has to be true about the person or firm doing the internal pen test?,280
What evidence does an assessor review to confirm internal penetration testing was done correctly?,280
Does the tester for internal penetration testing have to be a QSA or ASV?,280
Which PCI DSS requirement covers internal penetration testing and its testing steps?,280
How often do we need to run external penetration tests under 11.4.3?,281
What changes trigger an external pen test again?,281
"Who’s allowed to perform the external penetration test, and do they need to be independent?",281
How is compliance with 11.4.3 checked during an assessment?,281
What does 11.4.3 require the penetration test to follow?,281
What has to happen after a penetration test finds exploitable weaknesses?,282
How are issues from penetration testing prioritized for fixing under 11.4.4?,282
What does 11.4.4 require for re-testing after remediation?,282
How do you verify compliance with 11.4.4 during an assessment?,282
"According to Requirement 11.4.4, how should fixes be tied to the risk assessment in 6.3.1?",282
What does 11.4.5 require if segmentation is used to isolate the CDE from other networks?,283
"How often do segmentation controls have to be penetration tested, and when else after that?",283
What has to be covered and confirmed during a segmentation penetration test under 11.4.5?,283
"Who is allowed to perform the segmentation test, and does the tester have to be independent?",283
"How are auditors supposed to check compliance with 11.4.5, and what do they review or interview for?",283
"Under 11.4.6, how often do service providers have to test segmentation controls, and when else must they do it?",284
What has to be covered and confirmed in the segmentation penetration test for 11.4.6?,284
"Who is allowed to perform the 11.4.6 segmentation test, and does that person have to be a QSA or ASV?",284
How is 11.4.6.a verified during a service provider assessment?,284
"Does requirement 11.4.6 apply to merchants, or only to service providers?",284
What must a multi-tenant service provider do to support customers with external penetration tests under 11.4.7?,285
"If I'm assessing a multi-tenant provider, what evidence do I need to check for 11.4.7 compliance?",285
Does 11.4.7 let a multi-tenant service provider block penetration testing by customers?,285
